month,location_id,disbursement_target_egp
2026-01,LOC001,1490000.0
2026-01,LOC002,1340000.0
2026-01,LOC003,550000.0
2026-01,LOC004,1030000.0
2026-01,LOC005,3090000.0
2026-01,LOC006,370000.0
2026-01,LOC007,360000.0
2026-01,LOC008,530000.0
2026-01,LOC009,2320000.0
2026-01,LOC010,2970000.0
2026-01,LOC011,2500000.0
2026-01,LOC012,2810000.0
2026-01,LOC013,1420000.0
2026-01,LOC014,1640000.0
2026-01,LOC015,3570000.0
2026-01,LOC016,1610000.0
2026-01,LOC017,930000.0
2026-01,LOC018,5590000.0
2026-01,LOC019,1220000.0
2026-01,LOC020,1930000.0
2026-01,LOC021,2770000.0
2026-01,LOC022,570000.0
2026-01,LOC023,290000.0
2026-01,LOC024,900000.0
2026-01,LOC025,320000.0
2026-01,LOC026,1190000.0
2026-01,LOC027,2150000.0
2026-01,LOC028,950000.0
2026-01,LOC029,1610000.0
2026-01,LOC030,260000.0
2026-01,LOC031,900000.0
2026-01,LOC032,640000.0
2026-01,LOC033,780000.0
2026-01,LOC034,2060000.0
2026-01,LOC035,1740000.0
2026-01,LOC036,740000.0
2026-01,LOC037,1160000.0
2026-01,LOC038,920000.0
2026-01,LOC039,700000.0
2026-01,LOC040,800000.0
2026-01,LOC041,870000.0
2026-01,LOC042,1740000.0
2026-01,LOC043,1390000.0
2026-01,LOC044,3040000.0
2026-01,LOC045,790000.0
2026-01,LOC046,1250000.0
2026-01,LOC047,1600000.0
2026-01,LOC048,1760000.0
2026-01,LOC049,1180000.0
2026-01,LOC050,520000.0
2026-01,LOC051,1360000.0
2026-01,LOC052,1660000.0
2026-01,LOC053,1850000.0
2026-01,LOC054,390000.0
2026-01,LOC055,480000.0
2026-01,LOC056,1900000.0
2026-01,LOC057,2140000.0
2026-01,LOC058,450000.0
2026-01,LOC059,3070000.0
2026-01,LOC060,1830000.0
2026-01,LOC061,400000.0
2026-01,LOC062,860000.0
2026-01,LOC063,810000.0
2026-01,LOC064,2190000.0
2026-01,LOC065,1680000.0
2026-01,LOC066,2600000.0
2026-01,LOC067,2520000.0
2026-01,LOC068,1300000.0
2026-01,LOC069,2830000.0
2026-01,LOC070,320000.0
2026-01,LOC071,1170000.0
2026-01,LOC072,530000.0
2026-01,LOC073,870000.0
2026-01,LOC074,1110000.0
2026-01,LOC075,790000.0
2026-01,LOC076,2380000.0
